0.59579,0.80314,0.98582
0.78065,0.62497,0.9769
0.87039,0.49235,0.96354
0.91727,0.39826,0.94582
0.944,0.32995,0.92382
0.96043,0.27854,0.89766
0.97115,0.23847,0.86748
0.97849,0.20627,0.83344
0.98372,0.1797,0.7957
0.98756,0.15727,0.75446
0.99044,0.13794,0.70993
0.99265,0.121,0.66234
0.99437,0.10592,0.6119
0.99573,0.092307,0.55888
0.99681,0.079855,0.50352
0.99766,0.068334,0.44608
0.99834,0.057557,0.38683
0.99888,0.047373,0.32605
0.99929,0.037655,0.264
0.9996,0.028296,0.20098
0.99982,0.019202,0.13724
0.99995,0.01029,0.073068
1,0.0014822,0.0087392
0.99997,-0.0072954,-0.055478
0.99987,-0.016115,-0.11932
0.99969,-0.025051,-0.18252
0.99942,-0.034179,-0.24482
0.99905,-0.043584,-0.30598
0.99858,-0.053357,-0.36576
0.99798,-0.063606,-0.42391
0.99722,-0.074453,-0.48023
0.99629,-0.086047,-0.53449
0.99513,-0.098569,-0.58649
0.99368,-0.11224,-0.63603
0.99186,-0.12736,-0.68294
0.98954,-0.14429,-0.72703
0.98654,-0.16353,-0.76815
0.9826,-0.18576,-0.80615
0.97729,-0.2119,-0.84089
0.96995,-0.2433,-0.87225
0.95944,-0.28192,-0.90011
0.94372,-0.33073,-0.92439
0.91896,-0.39436,-0.94498
0.87731,-0.47993,-0.96183
0.80177,-0.59763,-0.97487
0.65488,-0.75573,-0.98405
0.37044,-0.92886,-0.98935
0.065312,0.99786,-0.99075
0.46827,0.88358,-0.98824
0.70657,0.70765,-0.98183
0.82767,0.56121,-0.97155
0.89105,0.4539,-0.95743
0.9268,0.37554,-0.93953
0.9485,0.31677,-0.9179
0.96251,0.27126,-0.89262
0.972,0.23497,-0.86378
0.97871,0.20524,-0.83149
0.9836,0.18034,-0.79587
0.98727,0.15906,-0.75703
0.99007,0.14054,-0.71512
0.99226,0.12418,-0.67029
0.99398,0.10952,-0.62271
0.99536,0.096203,-0.57255
0.99647,0.083974,-0.52
0.99736,0.072618,-0.46526
0.99808,0.061964,-0.40852
0.99865,0.051872,-0.35001
0.99911,0.042224,-0.28995
0.99946,0.032918,-0.22858
0.99972,0.023866,-0.16614
0.99989,0.014985,-0.10287
0.99998,0.0062005,-0.039037
1,-0.0025605,0.025106
0.99994,-0.01137,0.089293
0.99979,-0.020303,0.15325
0.99957,-0.029436,0.21671
0.99924,-0.038857,0.2794
0.99882,-0.04866,0.34104
0.99826,-0.058957,0.40136
0.99756,-0.069879,0.46008
0.99667,-0.081584,0.51694
0.99555,-0.094269,0.57167
0.99413,-0.10818,0.62402
0.99233,-0.12363,0.67373
0.99,-0.14105,0.72056
0.98696,-0.161,0.76428
0.98288,-0.18425,0.80468
0.97728,-0.21193,0.84154
0.96935,-0.24566,0.87469
0.95766,-0.28791,0.90394
0.9395,-0.34254,0.92915
0.9095,-0.41571,0.95018
0.85583,-0.51726,0.96692
0.75101,-0.66029,0.97929
0.53371,-0.84567,0.9872
0.12994,-0.99152,0.99063
0.3448,0.93868,0.98955
0.65569,0.75503,0.98397
0.80911,0.58766,0.97391
0.88464,0.46627,0.95943
0.92504,0.37988,0.94061
0.94856,0.3166,0.91754
0.96327,0.26852,0.89034
0.97301,0.23075,0.85916
0.97976,0.20017,0.82416
0.98461,0.17478,0.78552
0.98819,0.15323,0.74343
0.9909,0.13457,0.6981
0.993,0.11816,0.64976
0.99463,0.10349,0.59865
0.99592,0.090194,0.54502
0.99695,0.078002,0.48911
0.99777,0.066688,0.43119
0.99843,0.056077,0.37154
0.99894,0.046024,0.31042
0.99934,0.036408,0.24811
0.99963,0.027127,0.18488
0.99984,0.018088,0.12102
0.99996,0.009211,0.056791
1,0.00041887,-0.0075262
0.99997,-0.0083614,-0.071663
0.99985,-0.017202,-0.13536
0.99966,-0.026178,-0.19834
0.99937,-0.035367,-0.26037
0.99899,-0.044855,-0.3212
0.9985,-0.054737,-0.38058
0.99788,-0.065123,-0.43829
0.9971,-0.076143,-0.4941
0.99612,-0.087952,-0.54781
0.99491,-0.10074,-0.5992
0.99339,-0.11475,-0.64809
0.99148,-0.13028,-0.6943
0.98903,-0.14775,-0.73765
0.98584,-0.16767,-0.778
0.98163,-0.19078,-0.81519
0.97593,-0.2181,-0.84909
0.96796,-0.2511,-0.87958
0.95643,-0.29196,-0.90655
